"DealerID","NewUsed","Year","Make","Model","ExteriorColor","InteriorColor","EngineCylinders","Trim","SellingPrice","Miles","MPG(Miles per gallon)","FuelType","website Link for more details","Car Features","website Link for images"
"2013","NEW","2023","Chrysler","Pacifica","Ceramic Gray Clearcoat","Black/Alloy/Black","6","Hybrid Limited FWD","58030","12","25","Hybrid","https://www.pinebeltcjdr.com/","Big family car, long distance travel","https://bussanimobility.com/wp-content/uploads/2023/06/Bussani-Mobility-S-PO-S2968-1.jpg"
"2013","USED","2020","Jeep","Compass","Diamond Black Crystal Pearlcoat","Black","4","Altitude 4x4","23891","21960","30","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Diamond-Black-Crystal-Pearl-Coat-Exterior-Paint.jpg"
"2013","NEW","2023","Jeep","Compass","Billet Silver Metallic Clearcoat","Black","4","Limited 4x4","40572","0","32","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Billet-Silver-Metallic-Clear-Coat-Exterior-Paint.jpg"
"2013","NEW","2023","Jeep","Compass","Bright White Clearcoat","Black","4","Limited 4x4","40077","0","32","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Bright-White-Clear-Coat-Exterior-Paint.jpg"
"2013","NEW","2023","Jeep","Compass","Billet Silver Metallic Clearcoat","Ruby Red/Black","4","Trailhawk 4x4","41062","0","32","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Billet-Silver-Metallic-Clear-Coat-Exterior-Paint.jpg"
"2013","NEW","2023","Jeep","Grand Cherokee 4xe","Bright White Clearcoat","Global Black","4","4x4","59572","119","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://cdn.carbuzz.com/gallery-images/1600/1018000/600/1018698.jpg"
"2013","NEW","2023","Jeep","Compass","Sting-Gray Clearcoat","Black","4","Limited 4x4","40572","0","32","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price",""
"2013","NEW","2023","Jeep","Compass","Billet Silver Metallic Clearcoat","Black","4","Limited 4x4","40572","0","32","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Billet-Silver-Metallic-Clear-Coat-Exterior-Paint.jpg"
"2013","NEW","2023","Jeep","Wrangler 4xe","Sting-Gray Clearcoat","Black","4","Sahara 4x4","64072","186","25","Hybrid","https://www.pinebeltcjdr.com/","Adventure, off road","https://vehicle-images.dealerinspire.com/ec71-110008175/1C4JJXR61PW704328/a40fe0242d8876d2ea30fa315852ba18.jpg"
"2013","NEW","2023","Jeep","Wrangler 4xe","Hydro Blue Pearl Coat","Black","4","4x4","61252","53","25","Hybrid","https://www.pinebeltcjdr.com/","Adventure, off road","https://www.4xeforums.com/attachments/jeep-wrangler-4xe-hydro-blue-pearl-exterior-paint-jpg.86/"
"2013","USED","2017","Ram","1500","Brilliant Black Crystal Pearlcoat","Black","6","Express 4x4 Crew Cab 5'7"" Box","25741","75864","21","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://65e81151f52e248c552b-fe74cd567ea2f1228f846834bd67571e.ssl.cf1.rackcdn.com/ldm-images/2023-RAM-1500-Color-Diamond-Black-Crystal-Pearl%20(1).png"
"2013","USED","2020","Chrysler","Pacifica","Bright White Clearcoat","Alloy/Black","6","Touring L FWD","0","47657","28","Gasoline","https://www.pinebeltcjdr.com/","Big family car, long distance travel","https://vehicle-images.dealerinspire.com/5d0c-110008097/2C4RC1L76NR222407/66ab914863df1cdeca3a37a734e39d88.jpg"
"2013","USED","2020","Jeep","Compass","Billet Silver Metallic Clearcoat","Black","4","Latitude 4x4","0","31367","31","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Billet-Silver-Metallic-Clear-Coat-Exterior-Paint.jpg"
"2013","USED","2020","Jeep","Compass","Granite Crystal Metallic Clearcoat","Black","4","Latitude 4x4","0","25543","31","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://content.homenetiol.com/2000466/2078700/640x480/stock_images/8/cc_2022JES15_01_640/cc_2022JES150002_01_640_PAU.jpg"
"2013","USED","2021","Jeep","Compass","White Clearcoat","Black","4","Latitude 4x4","0","36866","30","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Bright-White-Clear-Coat-Exterior-Paint.jpg"
"2013","USED","2020","Jeep","Compass","Velvet Red Pearlcoat","Black","4","Latitude 4x4","25888","4944","31","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Velvet-Red-Pearl-Coat-Exterior-Paint.jpg"
